Name	Log2ratio_Log10fdr
Cd200r4	0.93129212
Hes1	0.931087779
Pdxk	0.927596123
Rps27	0.92680734
Adra2a	0.924017203
Vps37a	0.923700518
Rnf128	0.923400924
Smpd3	0.920113241
Api5	0.920038748
Slc25a32	0.919383718
Mybpc2	0.919214191
Caap1	0.917894847
Fam126b	0.917633873
Ipo7	0.914291305
Trim43b	0.913297838
Cdc5l	0.913245106
Bmp2	0.912474098
Tmem178	0.911489349
Runx1t1	0.910552022
Wasl	0.909463865
Acacb	0.90933525
Snai3	0.909199492
Cep126	0.908409673
Ftx	0.908403014
Zfp35	0.906884467
Muc4	0.90648358
Tmem39a	0.905479755
Ccdc97	0.903326497
Mei4	0.897736708
Rdh12	0.89584093
Gpr22	0.894943747
Hlf	0.89456466
Arl5a	0.893147587
Zfp597	0.892460569
Stum	0.892019378
Ccng2	0.891990379
Tgoln1	0.889978964
Tmem204	0.889946483
Slco4c1	0.887111841
Tigit	0.88670599
Eva1a	0.8860627
Bicral	0.883952875
Krt80	0.882215724
Nktr	0.881911536
Cplane2	0.881163604
Gspt2	0.880892628
